"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Pairing","Pairing by wifi and ble","0","0","5","0","0"
"","TCP Communication","Device control","0","0","24","0","0"
"","Test cases for rhythm","Disable rhythm by mqtt","0","0","1","0","0"
"","Test cases for rhythm","Save scene when rhythm playing","0","0","1","0","0"
"","UDP Communication","Device Control","0","0","24","0","0"
"","Pairing","Pairing by only ble","0","0","5","0","0"
"","Test cases for rhythm","Select same lamp mode for all lamp point","0","0","1","0","0"
"","Create schedule by mqtt","Delete a schedule","0","0","1","0","0"
"","Create schedule by mqtt","Create schedule by mqtt","0","0","1","0","0"
"","Test cases for rhythm","Turn off and then turn on without specifying any lamp mode when Rhythms playing","0","0","1","0","0"
"","Pairing","Pairing by only wifi","0","0","5","0","0"
"","Test cases for rhythm","Trigger a schedule when rhythm playing","0","0","1","0","0"
"","Create schedule by mqtt","Create schedule with the same time, same room, different scenes by mqtt","0","0","1","0","0"
"","Test cases for rhythm","Turn to Night light mode and then turn on without specifying any lamp mode when Rhythms playing","0","0","1","0","0"
"","Create schedule by mqtt","Create a schedule with action ""Warm White"" and end with ""Previous mode"" when lamp original status is ""Bedtime""","0","0","1","0","0"
"","Test cases for rhythm","Turn to Night light mode and then turn on from in cool white mode when Rhythms playing","0","0","1","0","0"
"","Create schedule by mqtt","Create a schedule with action ""Warm White"" and end with ""Off"" when lamp original status is off","0","0","1","0","0"
"","Create schedule by mqtt","Edit schedule to end with off by mqtt","0","0","1","0","0"
"","Test cases for rhythm","Turn off and then turn on in cool white mode when Rhythms playing","0","0","1","0","0"
"","Create schedule by mqtt","Create default schedule by mqtt","0","0","1","0","0"
"","Create schedule by mqtt","Edit a schedule end of the way when the schedule has been stated by mqtt","0","0","1","0","0"
"","Test cases for rhythm","Edit time for circadian rhythm","0","0","1","0","0"
"","Create schedule by mqtt","Create a schedule with action ""Bedtime"" and end with ""off"" when lamp original status is ""Warm White""","0","0","1","0","0"
"","Create schedule by mqtt","Create a schedule with action ""Daylight"" and end with ""Previous mode"" when lamp original status is on","0","0","1","0","0"
"","Test cases for rhythm","Enable circadian rhythm by mqtt","0","0","1","0","0"
"","Test cases for rhythm","Select rhythm by mqtt","0","0","1","0","0"
