"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 16 13:58:48 CST 2020","Fri Oct 16 14:00:22 CST 2020","94401","Test_Suites.Tests.test_regression_product","test_04_pair_lamps_wifi_ble","","","","test_rtp_pair_lamps_wifi_ble","pair_lamps_wifi_ble.feature: RTP pairing wifi and ble"
"passed","Fri Oct 16 14:17:53 CST 2020","Fri Oct 16 14:17:59 CST 2020","6020","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_rgb[light_1-Fall]","single_light_control_by_udp.feature: Single light control --- Change default light mode for RGB light"
"passed","Fri Oct 16 17:17:14 CST 2020","Fri Oct 16 17:17:21 CST 2020","7098","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_change_mode_rgb[light_1-Fireplace]","tcp_comm.feature: Single light control by mqtt --- Change light mode for RGB light"
"passed","Fri Oct 16 14:18:35 CST 2020","Fri Oct 16 14:18:41 CST 2020","6017","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_rgb[light_1-Summer]","single_light_control_by_udp.feature: Single light control --- Change default light mode for RGB light"
"passed","Fri Oct 16 17:13:48 CST 2020","Fri Oct 16 17:13:55 CST 2020","7104","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_on_off_nl[light_1-ON1]","tcp_comm.feature: Single light control by mqtt --- ON/OFF/NL"
"passed","Fri Oct 16 14:15:19 CST 2020","Fri Oct 16 14:15:25 CST 2020","6014","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_on_off_nl[light_1-ON2]","single_light_control_by_udp.feature: Single light control --- ON/OFF/NL"
"passed","Fri Oct 16 14:17:05 CST 2020","Fri Oct 16 14:17:11 CST 2020","6016","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_rgb[light_1-Night light]","single_light_control_by_udp.feature: Single light control --- Change default light mode for RGB light"
"passed","Fri Oct 16 14:14:49 CST 2020","Fri Oct 16 14:14:55 CST 2020","6015","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_on_off_nl[light_1-OFF0]","single_light_control_by_udp.feature: Single light control --- ON/OFF/NL"
"passed","Fri Oct 16 17:17:42 CST 2020","Fri Oct 16 17:17:49 CST 2020","7082","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_change_mode_rgb[light_1-Romance]","tcp_comm.feature: Single light control by mqtt --- Change light mode for RGB light"
"passed","Fri Oct 16 17:18:39 CST 2020","Fri Oct 16 17:18:46 CST 2020","7100","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_change_mode_rgb[light_1-Ocean]","tcp_comm.feature: Single light control by mqtt --- Change light mode for RGB light"
"passed","Fri Oct 16 14:18:11 CST 2020","Fri Oct 16 14:18:17 CST 2020","6010","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_rgb[light_1-Romance]","single_light_control_by_udp.feature: Single light control --- Change default light mode for RGB light"
"passed","Fri Oct 16 17:17:07 CST 2020","Fri Oct 16 17:17:14 CST 2020","7087","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_change_mode_rgb[light_1-Candlelight]","tcp_comm.feature: Single light control by mqtt --- Change light mode for RGB light"
"passed","Fri Oct 16 17:16:10 CST 2020","Fri Oct 16 17:16:17 CST 2020","7086","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_change_mode_rgb[light_1-Daylight]","tcp_comm.feature: Single light control by mqtt --- Change light mode for RGB light"
"passed","Fri Oct 16 17:43:35 CST 2020","Fri Oct 16 17:44:48 CST 2020","73082","Test_Suites.Tests.test_regression_product","test_07_rhythm_by_mqtt","","","","test_21_turn_to_night_light_then_turn_on_without_specifying_any_lamp_mode_when_rhythms_playing_by_mqtt","rhythm_actions.feature: Turn to Night light mode and then turn on without specifying any lamp mode when Rhythms playing"
"passed","Fri Oct 16 14:17:47 CST 2020","Fri Oct 16 14:17:53 CST 2020","6010","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_rgb[light_1-Fireplace]","single_light_control_by_udp.feature: Single light control --- Change default light mode for RGB light"
"passed","Fri Oct 16 14:18:47 CST 2020","Fri Oct 16 14:18:53 CST 2020","6018","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_rgb[light_1-Jungle]","single_light_control_by_udp.feature: Single light control --- Change default light mode for RGB light"
"passed","Fri Oct 16 17:18:18 CST 2020","Fri Oct 16 17:18:25 CST 2020","7095","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_change_mode_rgb[light_1-Forest]","tcp_comm.feature: Single light control by mqtt --- Change light mode for RGB light"
