"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 21 18:28:56 CST 2021","Thu Jan 21 18:34:18 CST 2021","322564","Test_Suites.Tests.test_regression_module","test_08_schedule_by_mqtt","","","","test_09_delete_schedule","schedule.feature: Delete a schedule"
"passed","Fri Jan 22 09:24:09 CST 2021","Fri Jan 22 09:25:20 CST 2021","71051","Test_Suites.Tests.test_regression_module","test_09_rhythm_by_mqtt","","","","test_04_select_rhythm_by_mqtt","rhythm.feature: Select rhythm by mqtt"
"passed","Thu Jan 21 18:07:59 CST 2021","Thu Jan 21 18:18:21 CST 2021","621853","Test_Suites.Tests.test_regression_module","test_08_schedule_by_mqtt","","","","test_06_edit_schedule_to_end_with_off_by_mqtt","schedule.feature: Edit schedule to end with off by mqtt"
"passed","Fri Jan 22 03:59:22 CST 2021","Fri Jan 22 04:04:52 CST 2021","329787","Test_Suites.Tests.test_regression_module","test_08_schedule_by_mqtt","","","","test_39_open_the_vacation_mode","schedule.feature: Open the vacation mode"
"passed","Fri Jan 22 08:46:10 CST 2021","Fri Jan 22 08:46:27 CST 2021","16992","Test_Suites.Tests.test_regression_module","test_07_temperature_speed_light_mode","","","","test_single_tw_device_tcp_control_temperature[light_2-2700-wizappd]","04_temperature_speed_light_mode.feature: Single TW device control via tcp - temperature"
"passed","Fri Jan 22 08:47:18 CST 2021","Fri Jan 22 08:47:35 CST 2021","16620","Test_Suites.Tests.test_regression_module","test_07_temperature_speed_light_mode","","","","test_single_tw_device_tcp_control_speed[light_2-50-wizappd]","04_temperature_speed_light_mode.feature: Single TW device control via tcp - speed"
"passed","Thu Jan 21 17:35:49 CST 2021","Thu Jan 21 17:36:00 CST 2021","11738","Test_Suites.Tests.test_regression_module","test_06_on_off_nl_dimming","","","","test_device_control_on_off_nl_udp[light_1-OFF-udp-NL]","03_on_off_nl_dimming.feature: ON/OFF/NL device control by UDP"
"passed","Thu Jan 21 18:18:21 CST 2021","Thu Jan 21 18:28:56 CST 2021","634705","Test_Suites.Tests.test_regression_module","test_08_schedule_by_mqtt","","","","test_07_edit_schedule_end_of_the_way_when_the_schedule_has_been_started_by_mqtt","schedule.feature: Edit a schedule end of the way when the schedule has been started by mqtt"
"passed","Thu Jan 21 18:54:58 CST 2021","Thu Jan 21 19:35:22 CST 2021","2423719","Test_Suites.Tests.test_regression_module","test_08_schedule_by_mqtt","","","","test_14_create_schedule_with_warm_white_end_with_previous_mode_when_lamp_status_bedtime","schedule.feature: Create a schedule with action ""Warm White"" and end with ""Previous mode"" when lamp original status is ""Bedtime"""
"passed","Fri Jan 22 08:45:18 CST 2021","Fri Jan 22 08:45:29 CST 2021","11390","Test_Suites.Tests.test_regression_module","test_07_temperature_speed_light_mode","","","","test_single_tw_device_udp_control_speed[light_2-200-udp]","04_temperature_speed_light_mode.feature: Single TW device control via udp - speed"
"passed","Thu Jan 21 17:38:48 CST 2021","Thu Jan 21 17:39:03 CST 2021","15344","Test_Suites.Tests.test_regression_module","test_06_on_off_nl_dimming","","","","test_device_control_dimming_udp[light_1-30-udp-10-30]","03_on_off_nl_dimming.feature: Dimming device control by UDP"
"passed","Thu Jan 21 18:02:43 CST 2021","Thu Jan 21 18:07:59 CST 2021","315768","Test_Suites.Tests.test_regression_module","test_08_schedule_by_mqtt","","","","test_03_create_schedule_same_time_by_mqtt","schedule.feature: Create schedule with the same time, same room, different scenes by mqtt"
"passed","Fri Jan 22 03:43:59 CST 2021","Fri Jan 22 03:59:22 CST 2021","923429","Test_Suites.Tests.test_regression_module","test_08_schedule_by_mqtt","","","","test_37_change_speed_during_schedule_action_dynamic_mode_end_with_previous_mode","schedule.feature: Change speed during schedule, action is dynamic mode and end with ""previous mode"""
"passed","Thu Jan 21 22:37:40 CST 2021","Thu Jan 21 22:48:00 CST 2021","620404","Test_Suites.Tests.test_regression_module","test_08_schedule_by_mqtt","","","","test_21_create_schedule_with_action_wake_up_end_with_previous_mode_when_lamp_status_on","schedule.feature: Create a schedule with action ""Wake-up"" and end with ""Previous mode"" when lamp original status is ""ON"""
