"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 02 16:12:15 CST 2020","Mon Nov 02 16:18:18 CST 2020","362540","Test_Suites.Tests.test_regression_product","test_08_rhythm_by_mqtt","","","","test_17_trigger_schedule_when_rhythm_playing_by_mqtt","rhythm_actions.feature: Trigger a schedule when rhythm playing"
"passed","Mon Nov 02 16:10:38 CST 2020","Mon Nov 02 16:11:15 CST 2020","36258","Test_Suites.Tests.test_regression_product","test_08_rhythm_by_mqtt","","","","test_14_select_same_lamp_mode_for_all_lamp_point_by_mqtt","rhythm_actions.feature: Select same lamp mode for all lamp point"
"passed","Mon Nov 02 14:38:06 CST 2020","Mon Nov 02 14:38:15 CST 2020","9017","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_rgb[light_1-Fall]","single_light_control_by_udp.feature: Single light control --- Change default light mode for RGB light"
"passed","Mon Nov 02 16:18:18 CST 2020","Mon Nov 02 16:24:32 CST 2020","374458","Test_Suites.Tests.test_regression_product","test_08_rhythm_by_mqtt","","","","test_18_turn_off_then_turn_on_in_cool_white_mode_when_rhythms_playing_by_mqtt","rhythm_actions.feature: Turn off and then turn on in cool white mode when Rhythms playing"
"passed","Mon Nov 02 14:39:37 CST 2020","Mon Nov 02 14:39:46 CST 2020","9041","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_rgb[light_1-Mojito]","single_light_control_by_udp.feature: Single light control --- Change default light mode for RGB light"
"passed","Mon Nov 02 14:48:58 CST 2020","Mon Nov 02 14:49:08 CST 2020","10170","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_change_mode_rgb[light_1-Pulse]","tcp_comm.feature: Single light control by mqtt --- Change light mode for RGB light"
"passed","Mon Nov 02 14:36:36 CST 2020","Mon Nov 02 14:36:45 CST 2020","9053","Test_Suites.Tests.test_regression_product","test_05_single_lamp_control_by_udp","","","","test_single_light_control_change_mode_rgb[light_1-Daylight]","single_light_control_by_udp.feature: Single light control --- Change default light mode for RGB light"
"passed","Mon Nov 02 14:45:55 CST 2020","Mon Nov 02 14:46:06 CST 2020","10150","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_change_mode_rgb[light_1-Relax]","tcp_comm.feature: Single light control by mqtt --- Change light mode for RGB light"
"passed","Mon Nov 02 14:49:39 CST 2020","Mon Nov 02 14:49:49 CST 2020","10197","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_change_mode_rgb[light_1-Bedtime]","tcp_comm.feature: Single light control by mqtt --- Change light mode for RGB light"
"passed","Mon Nov 02 14:45:35 CST 2020","Mon Nov 02 14:45:45 CST 2020","10154","Test_Suites.Tests.test_regression_product","test_06_tcp_comm","","","","test_tcp_comm_change_mode_rgb[light_1-Cozy]","tcp_comm.feature: Single light control by mqtt --- Change light mode for RGB light"
